STATION,STATION_NAME,DATE,HPCP
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130101 01:00,0.00
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130111 21:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130114 04:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130116 03:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130116 04:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130116 06:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130116 13:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130128 10:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130128 13:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130128 15:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130129 17:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130129 18:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130130 11:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130130 20:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130130 22:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130130 23:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130131 01:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130131 02:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130131 03:00,7.62
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130131 04:00,7.62
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130131 05:00,2.54
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130201 01:00,0.00
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130201 02:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130301 00:00,25399.75
COOP:305435,MONGAUP VALLEY 4 SSW NY US,20130301 01:00,0.00
