true_values,predicted_values,abs_error
0.0,0.0,0.0
0.001,0.0,0.001
0.012,0.0,0.012
0.015,0.0,0.015
0.008,0.0,0.008
0.006,0.0,0.006
0.012,0.0,0.012
0.03,0.0,0.03
0.049,0.02707535,0.021924648
0.056,0.058492362,0.0024923608
0.061,0.06973475,0.0087347515
0.072,0.074225485,0.0022254884
0.08,0.08381456,0.0038145632
0.076,0.09185952,0.015859522
0.089,0.08270711,0.0062928945
0.246,0.09923291,0.1467671
0.286,0.34871447,0.06271446
0.363,0.37352094,0.010520935
0.496,0.52980745,0.033807456
0.613,0.6529892,0.039989233
0.645,0.81607,0.17107004
0.668,0.7897322,0.121732235
0.762,0.8026421,0.040642083
0.881,0.9204224,0.039422393
1.017,1.0671968,0.050196886
1.316,1.2186587,0.0973413
1.412,1.6044788,0.1924789
1.058,1.5422983,0.48429835
0.788,0.9977197,0.20971972
0.73,0.7792702,0.049270153
0.772,0.7996788,0.027678788
0.891,0.8934982,0.0024982095
1.294,1.0656062,0.2283938
1.542,1.6376498,0.09564972
1.549,1.7431409,0.19414091
1.616,1.6304085,0.014408469
1.819,1.7159014,0.10309863
1.819,2.0087729,0.18977284
1.682,1.8742673,0.1922673
1.668,1.6827483,0.014748335
1.643,1.7870774,0.14407742
1.426,1.7143958,0.28839576
1.169,1.4273484,0.25834835
0.878,1.1639555,0.28595543
0.846,0.8670571,0.02105707
0.896,0.9567475,0.060747445
0.803,1.0341139,0.23111391
0.82,0.8817898,0.06178981
0.985,0.9413147,0.043685317
1.103,1.1692429,0.066242814
1.063,1.2668368,0.2038368
0.985,1.1464307,0.16143072
1.092,1.0571742,0.0348258
1.237,1.244479,0.0074789524
1.244,1.4036148,0.1596148
1.167,1.3450738,0.17807376
1.037,1.2247226,0.18772268
0.818,1.0728309,0.2548309
0.761,0.82285976,0.061859787
0.75,0.8447434,0.09474337
0.763,0.8441778,0.08117777
0.837,0.8796858,0.042685807
0.936,0.97908306,0.04308307
1.102,1.0950143,0.0069856644
1.25,1.297559,0.047559023
1.188,1.4229095,0.23490953
1.094,1.2500473,0.15604734
1.007,1.1506348,0.1436348
0.871,1.0613196,0.1903196
0.737,0.9161405,0.17914051
0.684,0.78586704,0.10186702
0.669,0.76773477,0.09873474
0.636,0.7594352,0.1234352
0.587,0.7242084,0.1372084
0.51,0.6687864,0.15878642
0.306,0.5742805,0.2682805
0.081,0.3203592,0.2393592
0.061,0.08292967,0.02192967
0.059,0.076250196,0.017250195
0.055,0.056767046,0.0017670467
0.043,0.06934506,0.026345056
0.037,0.041502178,0.0045021772
0.038,0.04424113,0.0062411316
0.047,0.0434978,0.0035021976
0.055,0.0638839,0.008883901
0.059,0.07338339,0.014383391
0.068,0.083595455,0.015595451
0.084,0.09560734,0.0116073415
0.155,0.120118976,0.034881026
0.234,0.22770995,0.0062900484
0.379,0.33892572,0.04007429
0.449,0.57095504,0.12195504
