true_values,predicted_values,abs_loss,,,
0,0,0,,,
0,0,0,,,
0,0,0,,,
0.001,0,0.001,,,
0.012,0.001,0.011,,Average,0.432670671
0.015,0.012,0.003,,STD,0.932638192
0.008,0.015,0.007,,,
0.006,0.008,0.002,,,
0.012,0.006,0.006,,,
0.03,0.012,0.018,,,
0.049,0.03,0.019,,,
0.056,0.049,0.007,,,
0.061,0.056,0.005,,,
0.072,0.061,0.011,,,
0.08,0.072,0.008,,,
0.076,0.08,0.004,,,
0.089,0.076,0.013,,,
0.246,0.089,0.157,,,
0.286,0.246,0.04,,,
0.363,0.286,0.077,,,
0.496,0.363,0.133,,,
0.613,0.496,0.117,,,
0.645,0.613,0.032,,,
0.668,0.645,0.023,,,
0.762,0.668,0.094,,,
0.881,0.762,0.119,,,
1.017,0.881,0.136,,,
1.316,1.017,0.299,,,
1.412,1.316,0.096,,,
1.058,1.412,0.354,,,
0.788,1.058,0.27,,,
0.73,0.788,0.058,,,
0.772,0.73,0.042,,,
0.891,0.772,0.119,,,
1.294,0.891,0.403,,,
1.542,1.294,0.248,,,
1.549,1.542,0.007,,,
1.616,1.549,0.067,,,
1.819,1.616,0.203,,,
1.819,1.819,0,,,
1.682,1.819,0.137,,,
1.668,1.682,0.014,,,
1.643,1.668,0.025,,,
1.426,1.643,0.217,,,
1.169,1.426,0.257,,,
0.878,1.169,0.291,,,
0.846,0.878,0.032,,,
0.896,0.846,0.05,,,
0.803,0.896,0.093,,,
0.82,0.803,0.017,,,
0.985,0.82,0.165,,,
1.103,0.985,0.118,,,
1.063,1.103,0.04,,,
0.985,1.063,0.078,,,
1.092,0.985,0.107,,,
1.237,1.092,0.145,,,
1.244,1.237,0.007,,,
1.167,1.244,0.077,,,
1.037,1.167,0.13,,,
0.818,1.037,0.219,,,
0.761,0.818,0.057,,,
0.75,0.761,0.011,,,
0.763,0.75,0.013,,,
0.837,0.763,0.074,,,
0.936,0.837,0.099,,,
1.102,0.936,0.166,,,
1.25,1.102,0.148,,,
1.188,1.25,0.062,,,
1.094,1.188,0.094,,,
1.007,1.094,0.087,,,
0.871,1.007,0.136,,,
0.737,0.871,0.134,,,
0.684,0.737,0.053,,,
