true_values,predicted_values,abs_error
0.0,0.011543525,0.011543525
0.0,0.0,0.0
0.0,0.06448367,0.06448367
0.001,0.0,0.001
0.012,0.062002644,0.050002642
0.015,0.0,0.015
0.008,0.058568224,0.050568223
0.006,0.0,0.006
0.012,0.0,0.012
0.03,0.0,0.03
0.049,0.05556178,0.006561782
0.056,0.028923435,0.027076567
0.061,0.09683001,0.03583001
0.07200000000000001,0.06507835,0.006921649
0.08,0.1428469,0.0628469
0.076,0.124345124,0.048345126
0.08900000000000001,0.108735144,0.019735143
0.246,0.16139063,0.084609374
0.28600000000000003,0.42263377,0.13663375
0.363,0.32271138,0.040288627
0.496,0.5247601,0.028760135
0.613,0.6343796,0.02137965
0.645,0.7789047,0.1339047
0.6679999999999999,0.7179973,0.04999733
0.762,0.7843263,0.02232629
0.8809999999999999,0.9154546,0.034454644
1.0170000000000001,1.0609983,0.04399836
1.3159999999999998,1.1923227,0.12367725
1.412,1.6320107,0.22001076
1.058,1.4756014,0.41760147
0.7879999999999999,0.88072777,0.09272778
0.73,0.7724343,0.042434275
0.772,0.8025602,0.030560195
0.8909999999999999,0.92457676,0.033576787
1.294,1.0704709,0.2235291
1.5419999999999998,1.6954625,0.15346241
1.5490000000000002,1.7594584,0.2104584
1.616,1.5349327,0.08106732
1.819,1.782238,0.036762
1.819,2.0444763,0.22547626
1.682,1.8518801,0.16988003
1.668,1.6782237,0.010223746
1.643,1.7671232,0.124123216
1.426,1.6971654,0.27116537
1.169,1.3380816,0.16908157
0.878,1.1193371,0.24133706
0.846,0.79078376,0.055216253
0.8959999999999999,1.0000694,0.10406935
0.8029999999999999,0.99951947,0.1965195
0.8200000000000001,0.82236433,0.0023643374
0.985,0.9528614,0.032138586
1.103,1.1727779,0.06977785
1.063,1.2314321,0.16843212
0.985,1.0866295,0.101629496
1.092,1.0244823,0.06751776
1.237,1.2774433,0.0404433
1.244,1.3908695,0.14686954
1.167,1.3112607,0.14426064
1.037,1.18426,0.14726007
0.8180000000000001,1.0527267,0.23472673
0.7609999999999999,0.73956835,0.021431625
0.75,0.8738847,0.12388468
0.763,0.8896278,0.1266278
0.8370000000000001,0.7869784,0.05002159
0.936,1.0014058,0.065405846
1.102,1.1019086,9.1433525e-05
1.25,1.2636667,0.013666749
1.188,1.3940452,0.20604527
1.094,1.2006819,0.10668194
1.0070000000000001,1.1112052,0.10420525
0.871,1.0251409,0.15414089
0.737,0.87488794,0.13788795
0.684,0.719471,0.035470963
0.669,0.72825253,0.0592525
0.636,0.72011423,0.08411425
0.5870000000000001,0.6555213,0.06852126
0.51,0.60229945,0.09229946
0.306,0.5024535,0.19645351
0.081,0.18992408,0.108924076
0.061,0.0,0.061
0.059000000000000004,0.022816984,0.036183015
0.055,0.0,0.055
0.043,0.0,0.043
0.037000000000000005,0.0,0.037
0.038,0.0,0.038
0.047,0.0,0.047
0.055,0.0,0.055
0.059000000000000004,0.0,0.059
0.068,0.0,0.068
0.084,0.03761013,0.04638987
0.155,0.07596706,0.07903294
0.234,0.19199128,0.042008713
0.379,0.267132,0.111867994
0.449,0.48462147,0.035621464
0.451,0.46233475,0.011334747
0.489,0.46506673,0.023933262
0.579,0.523088,0.055912018
0.621,0.66914356,0.048143566
0.591,0.64837617,0.057376146
0.578,0.5900892,0.012089193
0.5670000000000001,0.59858274,0.031582773
0.5429999999999999,0.577176,0.034175992
0.5710000000000001,0.5344918,0.036508203
0.633,0.61976624,0.013233781
0.6629999999999999,0.69657075,0.033570766
0.6990000000000001,0.69744503,0.001554966
0.6880000000000001,0.754856,0.06685597
0.6729999999999999,0.6858061,0.012806118
0.664,0.69627523,0.03227526
0.706,0.6771245,0.02887547
0.753,0.7676845,0.014684498
0.746,0.7983615,0.05236149
0.757,0.76017857,0.003178537
0.8740000000000001,0.79353416,0.08046585
0.885,1.0065516,0.12155163
0.8390000000000001,0.88355684,0.044556856
0.943,0.84705937,0.09594065
0.99,1.0681256,0.078125596
1.001,1.0275209,0.026520848
0.993,1.0382874,0.04528743
1.055,1.0023923,0.052607656
1.195,1.1453449,0.0496552
1.238,1.3156743,0.07767427
1.109,1.258113,0.14911306
0.9390000000000001,1.0330973,0.09409726
0.921,0.87527096,0.04572904
1.079,0.97455883,0.104441166
1.108,1.2247077,0.11670768
1.188,1.1080072,0.07999277
1.243,1.2950124,0.052012324
1.265,1.2706376,0.0056376457
1.375,1.3047675,0.07023251
1.544,1.4781255,0.06587458
1.5730000000000002,1.6857855,0.11278558
1.444,1.5742484,0.13024843
1.425,1.3673756,0.05762434
1.5830000000000002,1.4717985,0.111201406
1.608,1.7368816,0.12888157
1.5490000000000002,1.585457,0.036456943
1.497,1.537393,0.040392995
1.4409999999999998,1.4843022,0.04330218
1.47,1.4339097,0.036090374
1.4,1.5197148,0.119714856
1.268,1.3446997,0.076699734
1.297,1.2151489,0.081851125
1.3880000000000001,1.3709233,0.01707673
1.41,1.4608525,0.050852537
1.3880000000000001,1.4212743,0.033274293
1.355,1.3835121,0.02851212
1.285,1.346618,0.06161809
1.2,1.2562078,0.056207776
1.192,1.1636889,0.028311133
1.218,1.2172247,0.0007753372
1.287,1.2482835,0.038716435
1.3090000000000002,1.3629913,0.053991318
1.276,1.3162645,0.040264487
1.246,1.2594385,0.013438463
1.118,1.244275,0.12627494
1.114,1.038013,0.07598698
1.113,1.1746023,0.061602235
1.014,1.1066545,0.09265447
0.94,0.9609926,0.020992577
0.988,0.9163705,0.071629465
1.05,1.0541856,0.0041856766
1.215,1.0961539,0.11884618
1.219,1.3610893,0.14208937
1.263,1.1769769,0.08602309
1.409,1.3420299,0.06697011
1.472,1.5069128,0.034912825
1.439,1.5127176,0.073717594
1.3980000000000001,1.4128788,0.01487875
1.2990000000000002,1.3945125,0.09551251
1.251,1.2400179,0.010982156
1.229,1.2606012,0.03160119
1.192,1.222477,0.030476928
1.236,1.198836,0.037163973
1.357,1.3007771,0.056222916
1.4,1.4634343,0.06343436
