true_values,predicted_values,abs_error
0.0,0.0,0.0
0.0,2.4250016,2.4250016
0.0,2.5452607,2.5452607
0.001,0.0,0.001
0.012,0.0,0.012
0.015,0.015310764,0.00031076465
0.008,1.320982,1.312982
0.006,0.74873537,0.7427354
0.012,0.0,0.012
0.03,0.0,0.03
0.049,0.0,0.049
0.056,0.0,0.056
0.061,0.0,0.061
0.07200000000000001,0.0,0.072
0.08,0.0,0.08
0.076,0.0,0.076
0.08900000000000001,0.96657836,0.8775784
0.246,5.751545,5.505545
0.28600000000000003,6.3437576,6.0577574
0.363,6.0132723,5.6502724
0.496,1.6708152,1.1748152
0.613,2.7377355,2.1247356
0.645,2.953447,2.3084471
0.6679999999999999,0.35113847,0.3168615
0.762,0.0,0.762
0.8809999999999999,0.0,0.881
1.0170000000000001,0.0,1.017
1.3159999999999998,0.0,1.316
1.412,0.0,1.412
1.058,0.0,1.058
0.7879999999999999,0.31873763,0.46926236
0.73,0.0,0.73
0.772,0.0,0.772
0.8909999999999999,1.9883544,1.0973544
1.294,0.0,1.294
1.5419999999999998,0.0,1.542
1.5490000000000002,3.3701656,1.8211656
1.616,2.619306,1.003306
1.819,2.0055025,0.18650246
1.819,2.830938,1.0119381
1.682,3.1985443,1.5165442
1.668,3.2703857,1.6023858
1.643,3.2715774,1.6285774
1.426,5.2060537,3.7800536
1.169,5.5493116,4.3803115
0.878,5.3617887,4.4837885
0.846,5.707594,4.8615937
0.8959999999999999,6.106882,5.210882
0.8029999999999999,5.1407633,4.3377633
0.8200000000000001,5.6412973,4.821297
0.985,4.75934,3.7743397
1.103,1.0768718,0.026128292
1.063,3.842115,2.779115
0.985,4.6420164,3.6570163
1.092,3.8816483,2.7896483
1.237,12.078654,10.841654
1.244,9.495553,8.251553
1.167,6.2290173,5.0620174
1.037,1.9268324,0.8898325
0.8180000000000001,0.0,0.818
0.7609999999999999,2.7754078,2.0144079
0.75,1.8054519,1.0554519
0.763,0.9775485,0.21454847
0.8370000000000001,0.24678767,0.59021235
0.936,0.0,0.936
1.102,0.0,1.102
1.25,0.07805252,1.1719475
1.188,1.91135,0.72335005
1.094,4.64793,3.5539303
1.0070000000000001,4.483547,3.4765472
0.871,3.8496256,2.9786255
0.737,1.4777344,0.74073446
0.684,0.10097635,0.58302367
0.669,0.0,0.669
0.636,1.1643417,0.5283417
0.5870000000000001,0.27699095,0.31000906
0.51,0.23676491,0.27323508
0.306,0.94969237,0.6436924
0.081,0.0,0.081
0.061,0.0,0.061
0.059000000000000004,0.0,0.059
0.055,0.0,0.055
0.043,0.0,0.043
0.037000000000000005,0.0,0.037
0.038,0.0,0.038
0.047,0.0,0.047
0.055,0.0,0.055
0.059000000000000004,0.0,0.059
0.068,0.9454164,0.8774164
0.084,1.9380181,1.8540181
0.155,1.5778563,1.4228563
0.234,0.0,0.234
0.379,1.2941835,0.9151835
0.449,2.914901,2.465901
0.451,1.1683027,0.7173027
0.489,0.48829097,0.00070902705
0.579,0.0,0.579
0.621,0.0,0.621
0.591,0.0,0.591
0.578,0.52497965,0.053020358
0.5670000000000001,1.8612163,1.2942164
0.5429999999999999,3.586699,3.043699
0.5710000000000001,3.9597619,3.388762
0.633,5.6227674,4.9897676
0.6629999999999999,2.088736,1.4257361
0.6990000000000001,0.0,0.699
0.6880000000000001,1.9417176,1.2537177
0.6729999999999999,0.32471016,0.34828982
0.664,0.0,0.664
0.706,0.0,0.706
0.753,0.0,0.753
0.746,0.0,0.746
0.757,2.8507633,2.0937634
0.8740000000000001,1.8427432,0.96874315
0.885,1.4977553,0.6127553
0.8390000000000001,2.696684,1.8576839
0.943,1.8689466,0.92594653
0.99,0.02646035,0.96353966
1.001,0.0,1.001
0.993,0.0,0.993
1.055,0.0,1.055
1.195,0.0,1.195
1.238,0.0,1.238
1.109,0.0,1.109
0.9390000000000001,0.0,0.939
0.921,0.0,0.921
1.079,0.0,1.079
1.108,0.0,1.108
1.188,0.6771406,0.5108594
1.243,1.7667565,0.5237565
1.265,4.115119,2.850119
1.375,5.3496857,3.9746857
1.544,5.529127,3.985127
1.5730000000000002,8.386098,6.813098
1.444,8.546801,7.1028004
1.425,7.8215475,6.3965473
1.5830000000000002,6.572732,4.989732
1.608,4.2491703,2.6411703
1.5490000000000002,5.1542053,3.6052053
1.497,5.986104,4.4891043
1.4409999999999998,5.239706,3.798706
1.47,5.6491165,4.1791162
1.4,2.204818,0.80481803
1.268,0.0,1.268
1.297,0.49464744,0.8023526
1.3880000000000001,0.82581943,0.5621806
1.41,4.8411493,3.4311495
1.3880000000000001,5.186676,3.798676
1.355,5.300454,3.9454541
1.285,2.1340113,0.8490113
1.2,0.0,1.2
1.192,0.0,1.192
1.218,0.0,1.218
1.287,0.0,1.287
1.3090000000000002,0.0,1.309
1.276,0.0,1.276
1.246,0.8467585,0.39924157
1.118,2.9566772,1.8386772
1.114,3.0580232,1.9440233
1.113,4.374295,3.2612953
1.014,0.0,1.014
0.94,0.34895155,0.5910485
0.988,2.4046776,1.4166777
1.05,1.7221919,0.672192
1.215,0.0,1.215
1.219,0.0,1.219
1.263,2.333096,1.070096
1.409,0.0,1.409
1.472,0.30250525,1.1694947
1.439,2.3386211,0.8996211
1.3980000000000001,4.9285173,3.5305173
1.2990000000000002,6.305028,5.006028
1.251,6.0252924,4.7742925
1.229,4.8742332,3.6452332
1.192,8.222428,7.0304284
1.236,2.7584,1.5224
1.357,1.195927,0.16107297
1.4,0.6277079,0.7722921
1.331,1.1179132,0.21308672
1.411,2.1563702,0.74537015
1.514,0.0,1.514
1.515,3.296381,1.781381
1.36,0.0,1.36
0.77,0.0,0.77
0.475,0.0,0.475
0.392,1.2108908,0.8188908
0.265,0.54000247,0.27500248
0.304,0.0,0.304
0.322,0.0,0.322
0.092,0.0,0.092
0.053,0.0,0.053
0.032,0.0,0.032
0.036000000000000004,0.0,0.036
0.04,0.0,0.04
0.041,0.0,0.041
0.052000000000000005,0.0,0.052
0.275,0.29868925,0.02368924
1.048,3.0950332,2.0470333
1.37,7.7803097,6.41031
0.9590000000000001,8.82585,7.8668494
0.625,4.7452517,4.1202517
0.066,0.0,0.066
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
2.837,0.30205128,2.5349486
15.07,1.4681057,13.601894
13.999,1.3552198,12.64378
12.662,1.5156655,11.146334
11.702,7.106224,4.5957756
11.654000000000002,3.04906,8.60494
9.15,8.484884,0.66511536
7.315,5.8040304,1.5109696
