true_values,predicted_values,abs_error
0.0,0.0,0.0
0.0,1.8625882,1.8625882
0.0,2.176068,2.176068
0.001,0.0,0.001
0.012,0.0,0.012
0.015,0.0,0.015
0.008,0.0,0.008
0.006,0.0,0.006
0.012,0.0,0.012
0.03,0.0,0.03
0.049,0.0,0.049
0.056,0.0,0.056
0.061,0.0,0.061
0.07200000000000001,0.0,0.072
0.08,0.0,0.08
0.076,0.0,0.076
0.08900000000000001,1.1870824,1.0980824
0.246,3.5899823,3.3439822
0.28600000000000003,5.985125,5.6991253
0.363,2.5400279,2.177028
0.496,2.2359326,1.7399325
0.613,2.490682,1.877682
0.645,1.7734922,1.1284922
0.6679999999999999,1.7721608,1.1041608
0.762,2.3213277,1.5593276
0.8809999999999999,2.8442018,1.9632018
1.0170000000000001,3.3339496,2.3169496
1.3159999999999998,3.7014098,2.3854098
1.412,3.7877822,2.3757823
1.058,4.6207986,3.5627985
0.7879999999999999,2.9729846,2.1849847
0.73,4.1682515,3.4382515
0.772,3.535082,2.763082
0.8909999999999999,3.5431545,2.6521544
1.294,3.0494826,1.7554826
1.5419999999999998,3.2731614,1.7311614
1.5490000000000002,3.408036,1.859036
1.616,3.2739046,1.6579045
1.819,3.0111475,1.1921475
1.819,2.9796321,1.1606321
1.682,2.9017563,1.2197562
1.668,2.6993978,1.0313978
1.643,2.6488113,1.0058113
1.426,2.5891316,1.1631316
1.169,2.3105812,1.1415812
0.878,1.9990864,1.1210864
0.846,1.7013364,0.85533637
0.8959999999999999,1.7657866,0.8697866
0.8029999999999999,1.8048556,1.0018556
0.8200000000000001,1.5908215,0.7708215
0.985,1.6276152,0.6426152
1.103,1.8590703,0.75607026
1.063,1.9195578,0.85655785
0.985,1.7625191,0.7775191
1.092,1.6662188,0.57421875
1.237,1.8913422,0.6543422
1.244,2.019884,0.77588415
1.167,1.8848615,0.7178614
1.037,1.7784255,0.7414255
0.8180000000000001,1.6283548,0.81035477
0.7609999999999999,1.3997772,0.6387772
0.75,1.377111,0.62711096
0.763,1.314303,0.551303
0.8370000000000001,1.4031931,0.5661931
0.936,1.4954411,0.5594411
1.102,1.530824,0.42882395
1.25,1.7735195,0.5235195
1.188,1.9004867,0.71248674
1.094,1.6724241,0.5784241
1.0070000000000001,1.5687292,0.5617292
0.871,1.495689,0.62468904
0.737,1.3187473,0.5817473
0.684,1.1739377,0.48993766
0.669,1.1772931,0.50829303
0.636,1.1719716,0.5359716
0.5870000000000001,1.1306925,0.54369247
0.51,1.0406753,0.5306753
0.306,0.9370122,0.6310122
0.081,0.6169123,0.5359123
0.061,0.3657131,0.3047131
0.059000000000000004,0.3833743,0.32437432
0.055,0.36450994,0.30950993
0.043,0.36191404,0.31891403
0.037000000000000005,0.29391265,0.25691265
0.038,0.28256136,0.24456136
0.047,0.26462728,0.21762729
0.055,0.32546228,0.27046227
0.059000000000000004,0.3384959,0.2794959
0.068,0.37010643,0.30210644
0.084,0.38280207,0.29880208
0.155,0.46311003,0.30811003
0.234,0.54751563,0.31351563
0.379,0.6498026,0.27080262
0.449,0.82713896,0.37813896
0.451,0.8757961,0.42479607
0.489,0.81908834,0.33008835
0.579,0.9069609,0.3279609
0.621,1.0175703,0.39657027
0.591,1.0509855,0.45998544
0.578,0.93992364,0.36192364
0.5670000000000001,0.94770706,0.3807071
0.5429999999999999,0.928049,0.38504905
0.5710000000000001,0.9172139,0.34621394
0.633,0.9557598,0.3227598
0.6629999999999999,1.0491048,0.38610482
0.6990000000000001,1.056431,0.35743105
0.6880000000000001,1.0969832,0.40898317
0.6729999999999999,1.0692126,0.39621258
0.664,1.0272541,0.36325413
0.706,1.0191315,0.31313157
0.753,1.1221875,0.36918747
0.746,1.1547449,0.40874487
0.757,1.1130624,0.35606235
0.8740000000000001,1.1620632,0.28806323
0.885,1.3299658,0.44496584
0.8390000000000001,1.2685549,0.42955494
0.943,1.2144163,0.27141625
0.99,1.3932201,0.40322006
1.001,1.3859177,0.38491762
0.993,1.3924531,0.3994531
1.055,1.3545142,0.2995143
1.195,1.4881837,0.29318368
1.238,1.661197,0.4231969
1.109,1.6463041,0.53730416
0.9390000000000001,1.3790696,0.44006956
0.921,1.2130104,0.29201043
1.079,1.315584,0.23658395
1.108,1.5837201,0.47572005
1.188,1.4700515,0.28205156
1.243,1.6049675,0.36196744
1.265,1.6417043,0.37670434
1.375,1.6784446,0.30344462
1.544,1.8123024,0.26830232
1.5730000000000002,2.0136487,0.4406488
1.444,1.9283767,0.48437667
1.425,1.7022269,0.27722692
1.5830000000000002,1.7933631,0.21036315
1.608,2.0632412,0.4552412
1.5490000000000002,1.9922044,0.4432044
1.497,1.8499143,0.35291433
1.4409999999999998,1.8280122,0.38701224
1.47,1.7864249,0.31642485
1.4,1.889451,0.48945105
1.268,1.693438,0.42543805
1.297,1.5439783,0.24697828
1.3880000000000001,1.6899016,0.30190158
1.41,1.8167794,0.4067794
1.3880000000000001,1.7744136,0.38641357
1.355,1.7186033,0.36360323
1.285,1.7030978,0.41809785
1.2,1.5921147,0.39211464
1.192,1.4961607,0.3041607
1.218,1.5558038,0.33780372
1.287,1.6045684,0.31756842
1.3090000000000002,1.6776602,0.3686602
1.276,1.6547554,0.37875533
1.246,1.6250709,0.37907088
1.118,1.5797284,0.46172833
1.114,1.3865445,0.2725445
1.113,1.4701767,0.35717666
1.014,1.4522225,0.4382224
0.94,1.2933058,0.35330576
0.988,1.2588744,0.27087444
1.05,1.4077268,0.3577268
1.215,1.4361502,0.22115016
1.219,1.6705421,0.45154214
1.263,1.5242052,0.2612052
1.409,1.6430387,0.23403871
1.472,1.8558121,0.38381207
1.439,1.8358574,0.39685738
1.3980000000000001,1.7409453,0.34294534
1.2990000000000002,1.696316,0.39731598
1.251,1.5837119,0.33271182
1.229,1.5765364,0.34753644
1.192,1.588317,0.396317
1.236,1.5048164,0.26881647
1.357,1.6164536,0.25945365
1.4,1.7877772,0.3877772
1.331,1.7671044,0.43610442
1.411,1.6200771,0.20907712
1.514,1.8133359,0.29933584
1.515,1.8938365,0.3788365
1.36,1.8370063,0.47700632
0.77,1.5538217,0.7838217
0.475,0.6795747,0.20457473
0.392,0.6681953,0.27619532
0.265,0.65503186,0.39003187
0.304,0.43520725,0.13120726
0.322,0.5854386,0.2634386
0.092,0.5770753,0.4850753
0.053,0.18021601,0.12721601
0.032,0.15113789,0.11913788
0.036000000000000004,0.037069082,0.0010690838
0.04,0.0564785,0.016478501
0.041,0.08561158,0.04461158
0.052000000000000005,0.08604711,0.034047112
0.275,0.15753043,0.11746958
