true_values,predicted_values,abs_error
0.0,0.0,0.0
0.0,2.1054144,2.1054144
0.0,2.252112,2.252112
0.001,0.0,0.001
0.012,0.0,0.012
0.015,0.0,0.015
0.008,0.54357374,0.5355737
0.006,0.35072258,0.34472257
0.012,0.0,0.012
0.03,0.0,0.03
0.049,0.0,0.049
0.056,0.0,0.056
0.061,0.0,0.061
0.07200000000000001,0.0,0.072
0.08,0.0,0.08
0.076,0.0,0.076
0.08900000000000001,0.27047056,0.18147056
0.246,4.92889,4.6828904
0.28600000000000003,7.16578,6.87978
0.363,5.21423,4.85123
0.496,4.4263415,3.9303415
0.613,0.31782013,0.29517984
0.645,0.67905015,0.034050167
0.6679999999999999,0.35343468,0.3145653
0.762,0.0,0.762
0.8809999999999999,0.99229914,0.11129916
1.0170000000000001,1.5736464,0.55664647
1.3159999999999998,4.0988836,2.7828836
1.412,2.457843,1.0458431
1.058,2.0002623,0.9422623
0.7879999999999999,2.6996474,1.9116474
0.73,2.5908284,1.8608284
0.772,1.5040723,0.7320723
0.8909999999999999,2.3730907,1.4820907
1.294,2.234991,0.94099104
1.5419999999999998,2.5865593,1.0445592
1.5490000000000002,2.5374513,0.98845124
1.616,2.303009,0.687009
1.819,2.359919,0.54091907
1.819,2.699336,0.88033605
1.682,2.548036,0.86603606
1.668,2.3214781,0.65347815
1.643,2.3262334,0.6832334
1.426,2.298914,0.87291396
1.169,1.9838187,0.8148186
0.878,1.6770624,0.7990624
0.846,1.385129,0.53912896
0.8959999999999999,1.4771711,0.58117104
0.8029999999999999,1.5139802,0.7109802
0.8200000000000001,1.2952917,0.47529167
0.985,1.3505028,0.36550283
1.103,1.5858514,0.4828514
1.063,1.6442413,0.58124137
0.985,1.495928,0.51092803
1.092,1.404511,0.31251097
1.237,1.6292863,0.3922863
1.244,1.762423,0.5184231
1.167,1.6334636,0.46646357
1.037,1.5287417,0.49174178
0.8180000000000001,1.3747274,0.55672735
0.7609999999999999,1.1471584,0.3861584
0.75,1.1331993,0.38319933
0.763,1.076385,0.313385
0.8370000000000001,1.1583867,0.3213867
0.936,1.254502,0.31850207
1.102,1.2849169,0.18291688
1.25,1.5245806,0.2745806
1.188,1.6519582,0.46395826
1.094,1.4191513,0.32515132
1.0070000000000001,1.3178158,0.3108158
0.871,1.2518045,0.38080448
0.737,1.0716287,0.3346287
0.684,0.92954016,0.24554014
0.669,0.9346359,0.26563585
0.636,0.9302018,0.29420185
0.5870000000000001,0.8888396,0.3018396
0.51,0.799445,0.28944498
0.306,0.6950915,0.3890915
0.081,0.38318703,0.30218703
0.061,0.13569021,0.07469021
0.059000000000000004,0.16292274,0.10392274
0.055,0.1502769,0.0952769
0.043,0.14265388,0.099653885
0.037000000000000005,0.074334025,0.037334025
0.038,0.06546503,0.027465034
0.047,0.05458212,0.0075821206
0.055,0.11483878,0.05983878
0.059000000000000004,0.12643635,0.06743635
0.068,0.15516901,0.08716901
0.084,0.17130268,0.08730268
0.155,0.25090635,0.09590635
0.234,0.33256596,0.098565966
0.379,0.43048945,0.051489443
