native_power,power,wind_dir,wind_speed,air_temp,SAP,air_density
4.808,0.3005,1,1,1,1,1
4.66,0.29125,1,1,1,1,1
4.878,0.304875,1,1,1,1,1
5.117,0.3198125,1,1,1,1,1
5.173,0.3233125,1,1,1,1,1
5.736,0.3585,1,1,1,1,1
6.228,0.38925,1,1,1,1,1
6.432,0.402,1,1,1,1,1
6.711,0.4194375,1,1,1,1,1
6.977,0.4360625,1,1,1,1,1
7.172,0.44825,1,1,1,1,1
7.597,0.4748125,1,1,1,1,1
7.977,0.4985625,1,1,1,1,1
8.197,0.5123125,1,1,1,1,1
8.107,0.5066875,1,1,1,1,1
7.558,0.472375,1,1,1,1,1
6.637,0.4148125,1,1,1,1,1
5.721,0.3575625,1,1,1,1,1
4.757,0.2973125,1,1,1,1,1
3.857,0.2410625,1,1,1,1,1
3.324,0.20775,1,1,1,1,1
2.968,0.1855,1,1,1,1,1
2.611,0.1631875,1,1,1,1,1
2.429,0.1518125,1,1,1,1,1
2.413,0.1508125,1,1,1,1,1
2.615,0.1634375,1,1,1,1,1
3.009,0.1880625,1,1,1,1,1
3.359,0.2099375,1,1,1,1,1
3.795,0.2371875,1,1,1,1,1
4.244,0.26525,1,1,1,1,1
4.467,0.2791875,1,1,1,1,1
4.551,0.2844375,1,1,1,1,1
4.959,0.3099375,1,1,1,1,1
5.705,0.3565625,1,1,1,1,1
6.198,0.387375,1,1,1,1,1
6.354,0.397125,1,1,1,1,1
6.439,0.4024375,1,1,1,1,1
6.594,0.412125,1,1,1,1,1
6.884,0.43025,1,1,1,1,1
7.526,0.470375,1,1,1,1,1
8.054,0.503375,1,1,1,1,1
8.266,0.516625,1,1,1,1,1
8.241,0.5150625,1,1,1,1,1
8.137,0.5085625,1,1,1,1,1
7.99,0.499375,1,1,1,1,1
7.852,0.49075,1,1,1,1,1
7.624,0.4765,1,1,1,1,1
7.334,0.458375,1,1,1,1,1
7.247,0.4529375,1,1,1,1,1
7.343,0.4589375,1,1,1,1,1
7.652,0.47825,1,1,1,1,1
8.331,0.5206875,1,1,1,1,1
9.204,0.57525,1,1,1,1,1
9.941,0.6213125,1,1,1,1,1
10.229,0.6393125,1,1,1,1,1
10.318,0.644875,1,1,1,1,1
10.032,0.627,1,1,1,1,1
9.297,0.5810625,1,1,1,1,1
8.59,0.536875,1,1,1,1,1
8.493,0.5308125,1,1,1,1,1
8.934,0.558375,1,1,1,1,1
9.337,0.5835625,1,1,1,1,1
9.579,0.5986875,1,1,1,1,1
9.826,0.614125,1,1,1,1,1
10.368,0.648,1,1,1,1,1
11.119,0.6949375,1,1,1,1,1
11.895,0.7434375,1,1,1,1,1
12.542,0.783875,1,1,1,1,1
12.909,0.8068125,1,1,1,1,1
13.474,0.842125,1,1,1,1,1
14.205,0.8878125,1,1,1,1,1
14.879,0.9299375,1,1,1,1,1
15.353,0.9595625,1,1,1,1,1
15.692,0.98075,1,1,1,1,1
15.747,0.9841875,1,1,1,1,1
15.674,0.979625,1,1,1,1,1
15.34,0.95875,1,1,1,1,1
15.321,0.9575625,1,1,1,1,1
15.665,0.9790625,1,1,1,1,1
15.814,0.988375,1,1,1,1,1
15.912,0.9945,1,1,1,1,1
15.959,0.9974375,1,1,1,1,1
15.974,0.998375,1,1,1,1,1
15.972,0.99825,1,1,1,1,1
15.959,0.9974375,1,1,1,1,1
15.937,0.9960625,1,1,1,1,1
15.913,0.9945625,1,1,1,1,1
15.878,0.992375,1,1,1,1,1
15.872,0.992,1,1,1,1,1
15.886,0.992875,1,1,1,1,1
15.93,0.995625,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
15.994,0.999625,1,1,1,1,1
15.958,0.997375,1,1,1,1,1
15.948,0.99675,1,1,1,1,1
15.976,0.9985,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
15.998,0.999875,1,1,1,1,1
15.956,0.99725,1,1,1,1,1
15.947,0.9966875,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
15.844,0.99025,1,1,1,1,1
15.687,0.9804375,1,1,1,1,1
15.349,0.9593125,1,1,1,1,1
15.174,0.948375,1,1,1,1,1
15.126,0.945375,1,1,1,1,1
15.574,0.973375,1,1,1,1,1
15.706,0.981625,1,1,1,1,1
15.74,0.98375,1,1,1,1,1
15.542,0.971375,1,1,1,1,1
15.302,0.956375,1,1,1,1,1
15.37,0.960625,1,1,1,1,1
15.722,0.982625,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
15.84,0.99,1,1,1,1,1
15.59,0.974375,1,1,1,1,1
15.758,0.984875,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
15.989,0.9993125,1,1,1,1,1
16,1,1,1,1,1,1
15.939,0.9961875,1,1,1,1,1
15.693,0.9808125,1,1,1,1,1
14.115,0.8821875,1,1,1,1,1
11.371,0.7106875,1,1,1,1,1
9.269,0.5793125,1,1,1,1,1
8.16,0.51,1,1,1,1,1
10.476,0.65475,1,1,1,1,1
14.509,0.9068125,1,1,1,1,1
15.861,0.9913125,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
16,1,1,1,1,1,1
15.999,0.9999375,1,1,1,1,1
15.917,0.9948125,1,1,1,1,1
16,1,1,1,1,1,1
