year,month,date,hour,forecast 0-surface_pressure,forecast 0-temp@2M,forecast 0-wind_gust_speed,forecast 0-2_M_rel_humid,forecast 0-temp_gnd_lvl,forecast 1-surface_pressure,forecast 1-temp@2M,forecast 1-wind_gust_speed,forecast 1-2_M_rel_humid,forecast 1-temp_gnd_lvl,forecast 2-surface_pressure,forecast 2-temp@2M,forecast 2-wind_gust_speed,forecast 2-2_M_rel_humid,forecast 2-temp_gnd_lvl
2010,01,01,23,100810.0,272.8,2.0,97.83,271.54,100880.0,273.0,3.0,97.53,272.67,100810.0,273.40000000000003,4.0,93.41,272.58
2010,01,02,23,100180.0,269.2,13.0,64.82000000000001,269.63,100370.0,269.1,17.0,65.91,269.01,100360.0,268.0,18.0,68.42,268.0
2010,01,03,23,99780.0,266.6,17.0,83.28,266.85,99930.0,266.90000000000003,20.0,80.13,266.85,99940.0,266.7,19.0,79.58,266.61
2010,01,04,23,100440.0,269.90000000000003,7.0,66.81,268.88,100590.0,269.40000000000003,9.0,74.28,268.51,100540.0,269.0,11.0,74.39,268.29
2010,01,05,23,100360.0,269.7,6.0,70.0,268.48,100440.0,269.1,7.0,77.97,268.16,100580.0,269.0,7.0,81.10000000000001,268.17
2010,01,06,23,100460.0,271.0,6.0,71.72,269.81,100630.0,270.3,7.0,77.69,269.54,100740.0,270.7,10.0,74.26,269.99
2010,01,07,23,101020.0,272.7,4.0,75.67,271.19,101050.0,271.8,5.0,83.82000000000001,270.86,101090.0,271.5,5.0,86.55,270.7
2010,01,08,23,100620.0,271.90000000000003,8.0,85.15,272.59000000000003,100770.0,272.3,10.0,83.08,272.22,100790.0,271.7,11.0,78.49,271.68
2010,01,09,23,101800.0,268.6,7.0,60.76,267.82,101970.0,268.3,8.0,64.93,267.34000000000003,102050.0,267.90000000000003,11.0,62.27,267.08
2010,01,10,23,102180.0,267.0,4.0,68.99,265.77,102220.0,267.0,5.0,73.3,266.18,102330.0,266.90000000000003,5.0,68.92,265.96
2010,01,11,23,101680.0,269.8,3.0,71.03,268.47,101710.0,268.7,5.0,78.87,267.81,101840.0,268.2,5.0,77.63,267.33
2010,01,12,23,101470.0,271.90000000000003,6.0,69.86,270.99,101740.0,271.1,8.0,74.42,270.32,101890.0,270.6,12.0,65.14,269.9
2010,01,13,23,102010.0,271.8,2.0,68.72,270.59000000000003,102120.0,272.0,2.0,69.02,270.39,102280.0,272.1,2.0,68.42,270.49
2010,01,14,23,102280.0,274.8,1.0,77.0,273.69,102250.0,274.3,2.0,79.7,271.43,102360.0,272.6,3.0,90.47,270.45
2010,01,15,23,101910.0,277.1,4.0,76.17,274.53000000000003,102180.0,275.7,5.0,80.0,274.24,102280.0,275.0,4.0,85.64,273.88
2010,01,16,23,101910.0,278.0,1.0,63.77,274.87,101930.0,276.8,2.0,76.05,273.98,101970.0,275.5,2.0,84.37,272.83
2010,01,17,23,100900.0,277.3,7.0,98.21000000000001,276.72,100930.0,277.6,12.0,99.12,277.35,100710.0,278.6,12.0,98.52,278.25
2010,01,18,23,100990.0,278.5,2.0,75.93,274.89,101070.0,276.8,3.0,85.08,274.26,101320.0,275.8,3.0,90.56,273.6
2010,01,19,23,101070.0,279.1,3.0,90.25,278.47,101130.0,278.7,2.0,93.48,278.15000000000003,101070.0,278.3,2.0,95.62,277.93
2010,01,20,23,101430.0,275.7,5.0,70.99,274.59000000000003,101550.0,274.1,6.0,83.05,273.43,101600.0,274.0,7.0,71.35000000000001,273.08
2010,01,21,23,102150.0,274.2,2.0,75.2,273.83,102110.0,273.90000000000003,2.0,80.09,272.98,102000.0,272.8,2.0,87.46000000000001,272.1
2010,01,22,23,101430.0,275.8,5.0,62.79,274.06,101520.0,274.6,8.0,73.92,273.77,101480.0,274.7,10.0,74.74,273.99
2010,01,23,23,102420.0,272.90000000000003,1.0,72.44,271.88,102410.0,273.1,1.0,70.64,271.75,102450.0,272.90000000000003,2.0,75.04,271.75
2010,01,24,23,101610.0,280.0,5.0,90.47,278.87,101500.0,280.1,6.0,96.29,279.47,101390.0,280.7,7.0,98.72,280.07
